2-gram	*/*	2/*	3/*	4/*	5/*	6/*	7/*	8/*	9/*	2/1:2	3/1:2	3/2:3	4/1:2	4/2:3	4/3:4	5/1:2	5/2:3	5/3:4	5/4:5	6/1:2	6/2:3	6/3:4	6/4:5	6/5:6	7/1:2	7/2:3	7/3:4	7/4:5	7/5:6	7/6:7	8/1:2	8/2:3	8/3:4	8/4:5	8/5:6	8/6:7	8/7:8	9/1:2	9/2:3	9/3:4	9/4:5	9/5:6	9/6:7	9/7:8	9/8:9	*/1:2	*/2:3	*/3:4	*/4:5	*/5:6	*/6:7	*/7:8	*/8:9	*/9:10	*/-9:-8	*/-8:-7	*/-7:-6	*/-6:-5	*/-5:-4	*/-4:-3	*/-3:-2	*/-2:-1
XP	1885334638	1652653	7754677	1387931	3487168	124318519	263386454	280590539	306828856	1652653	349210	7405467	0	1387931	0	212356	3274812	0	0	0	124163758	154761	0	0	0	263386454	0	0	0	0	0	270809597	9644726	136216	0	0	0	0	301873894	4223757	731205	0	0	0	0	2214219	1831163397	14023244	36776386	120065	1037327	0	0	0	435848152	309272266	290286026	274017132	124512330	3429573	1737141	9058120
GN	1850801359	786506	4832895	59587016	86388313	261373123	294423843	260254717	329835137	786506	4206544	626351	1286552	1213750	57086714	977206	5761189	51889445	27760473	2762420	14092054	101733075	3695556	139090018	2929184	26361443	60485672	11873186	36027213	156747145	1421493	27497459	37574118	23278405	120393831	4720208	45369203	157349	19272701	106163117	73156715	83531994	10008386	17219675	20325200	15149258	96839034	646558505	165184667	595254016	192254612	86732850	41103201	5079619	129783553	51849003	247090099	269902715	212679005	270689772	124535187	447943087
SM	1838392669	3164094	9325140	6168613	520934547	142735494	197727611	165463686	275994360	3164094	3685699	5639441	4376281	1642070	150262	509608541	1250738	1558566	8516702	72541076	2892487	19716591	23690887	23894453	103640516	3228295	9963906	16762736	1317082	62815076	35228492	115144	11947470	9510704	24070707	2950123	81641046	9590575	286522	26750646	2285605	9031959	32464506	22374403	173210144	750903135	15981128	88426724	64250194	125672351	164583439	108247094	229852517	139232517	17055532	80943049	155799538	110883378	601754132	121603398	100866885	630969542
FL	1830098844	6677273	33331668	204054750	333552496	205076747	261502040	225442175	273846339	6677273	29226551	4105117	203303596	358675	392479	323948325	0	9248160	356011	172476612	2482345	23307909	6809881	0	151939341	109636	38806663	19960052	50686348	0	107960513	332961	35665487	74918886	6352711	211617	0	28215865	273228	214181013	22592924	3431828	804802	4346679	0	1096925901	7661962	495640518	141739373	67079750	10695676	9536070	525921	176910	65454766	229937467	376408746	239794582	449029540	254476252	100887911	11530880
IZ	1814164135	718182	16125367	139503467	68609317	42341618	117238636	172508663	236257538	718182	529571	15595796	604139	133462010	5437318	812034	32760910	32100908	2935465	0	11321313	27731547	2983089	305669	323213	11585987	23019236	40073079	38149461	4087660	212700	2570151	8689333	55974231	67283246	37779002	0	337424	2219538	33311116	2186320	16700499	100940143	80562498	0	3537263	209515705	135416815	157621219	150207764	450812395	365495681	162190030	80653058	33984203	84695321	441445007	30770389	206421105	611943581	366267745	29080090
OK	1813376076	9847389	5602088	744661021	363777635	315075661	207011435	84650633	44750320	9847389	1187322	4414766	15354045	27631774	701675202	824183	33664934	298420210	30868308	0	8158857	270865105	33872442	2179257	2242086	1780388	155141629	22901482	7028879	17916971	7721376	3898230	5260566	11290849	16892896	2689946	36896770	0	314516	11957375	3738834	4753395	1949411	11737226	10299563	37283988	79987298	1453754574	104626589	31171965	23626884	62846888	14213198	4363718	6049693	13991208	19641732	11315594	185229562	372148514	386355006	817295786
NL	1798491132	1937268	2176265	1137616322	12294860	223600280	46759075	189614283	132310078	1937268	1422537	753728	1160325	1135923987	532010	0	7107862	5186998	0	0	146985408	7839641	68775231	0	0	8438323	8574421	13870880	15875451	0	0	47017451	9363604	12074402	3623041	117535785	0	0	20232698	7023384	4742635	7605741	0	92705620	0	4520130	1396614456	40414123	101903355	30511322	121631844	93860952	4762672	3297549	5232926	21679644	58637311	22544562	183055864	33836157	1443410237	3223006
MY	1753447198	1082298016	6519278	145023003	108252379	131114887	149644257	38270811	34950101	1082298016	1221803	5297475	17940560	662866	126419577	15601738	1590853	192843	90866945	108467182	1882820	338157	780703	19646025	26348381	2218661	0	1076367	0	120000848	14794997	799389	0	830641	0	117860	21727924	20213866	0	136875	0	1595828	0	0	13003532	1319032489	13502075	128019405	93554656	22330342	123177659	24257314	15977143	3410805	20929181	18093472	28684648	111604798	23978074	20945937	2976075	1491766670
GL	1709752272	2001196	4367351	59455217	218733275	330541836	519754637	196413026	112731992	2001196	3653055	714296	46803399	9693410	2958408	149124014	609347	68853630	146284	115411705	1030288	27558454	186381683	159706	95175328	919576	368499178	48465908	6694647	0	53118100	1881375	7540060	20650158	7212657	106010676	0	22046264	136226	24578296	1801370	6443431	26210607	31515798	0	523305878	15524949	538598096	271872225	28607615	153997594	44223573	13982457	52698926	30226625	94060065	134304943	133592228	565001500	160593434	542781279	5979890
AW	1689436638	2216850	547994383	452078039	213063315	116454442	147337911	118206083	60071791	2216850	7489950	540504433	246100552	144051771	61925716	96783085	13974239	90571426	11734565	17224025	58911911	12087461	12132575	16098470	26931581	35778273	67001778	7642701	3888795	6094783	12969587	32696958	31807358	16166728	5349276	5923561	13292615	32050977	7153140	2693348	2540930	972883	1200876	12184137	1275500	442975682	837050054	267886578	55484391	27355963	13219220	43623178	1483758	357814	37165582	21160996	65705397	88147969	244155852	300539878	276450473	653142932
JU	1655210582	1525790	9951868	716850181	116342140	182844315	175343348	172899951	107677708	1525790	9951868	0	715663185	783871	403125	114615710	0	1726430	0	122963996	0	59671353	208966	0	152152056	247375	20134983	2808934	0	0	127267279	0	40134512	4814186	683974	0	0	63767604	374677	21016835	18240066	3931635	346891	0	0	1381389518	1405923	197818050	63786556	7429273	2888350	362367	0	0	81269014	187904557	185941048	182875437	143791503	779174337	12671135	1928915
OA	1620913259	1914347	25593230	397733668	428331910	154653131	126397919	249463456	76189277	1914347	18116442	7476788	23052607	373678324	1002737	8086617	339825357	71274288	9145648	1662490	81180350	17348362	53069165	1392764	4273773	77593210	35769945	4611170	3300337	849484	108779	31107119	26635218	3510597	143928660	42460261	1712822	249802	19893109	17553906	3995599	2018613	24003645	8474603	0	57464857	942104254	186708121	78072720	242303485	87019046	21598188	3085292	899056	24866399	31682162	79498219	171307615	134573753	564658850	571354982	24729617
EQ	1614312175	16759746	13533736	1205818	106465408	38942438	186009562	450707559	226336944	16759746	4703909	8829827	680274	269154	256390	105561296	736053	0	168059	33448966	3580050	1913422	0	0	63931654	113609375	8468533	0	0	0	96814611	275821203	77813372	258373	0	0	0	104462079	56188853	60050838	481694	5153480	0	0	0	516191562	564987058	276435337	3606988	250361855	0	1267031	323989	1138355	139991926	379484989	445771586	302692988	123021732	4468104	4973063	26014022
SY	1602829285	989835	3668198	114052884	47797203	527789921	227386149	204423296	103747168	989835	3364899	303299	5426149	0	108626735	20471765	614837	0	26710601	483513691	12265979	0	347948	31662303	185156792	11594945	2134267	1294643	0	27205502	164894377	1215767	3178188	326854	0	0	34808110	81172039	11483576	1323666	6280220	0	111759	0	3375908	1056294122	221193255	116869412	43973210	66652898	34378778	38948169	3375908	630354	152010371	208173953	193717327	505804849	35604970	7447388	4260940	254277733
SL	1575646777	2501132	8360630	106787615	212681662	323024198	184698621	123652272	149115620	2501132	4871655	3488975	97293019	9339457	155139	184703251	22169596	5646539	162276	181228903	93481042	45928539	1591008	794706	90933501	52472803	23300550	14098568	3893199	0	93530395	1553224	12791226	1531171	10102848	4143408	0	20931472	3689243	3618280	0	12642513	4185227	104048885	0	686637092	186378954	109564907	23736404	223980471	13377751	111977098	93632858	41005493	30818492	127006249	236081333	292388857	321145362	194715511	352014677	7102228
PS	1538723474	6838287	27771148	118212642	350079457	301009498	287065565	103388606	63613762	6838287	8523005	19248143	1452567	5355427	111404648	7537777	13566937	9523641	319451102	16566777	5689120	9074743	11504291	258174567	11520036	8357712	11109960	18457027	18613500	219007330	2494758	10992090	6534358	6038183	26657378	18975240	31696599	11023324	1682403	698157	11580335	3248992	9824666	161474	25394411	241868307	66006500	148564873	368748671	313497449	253549621	32582937	29032512	5943705	13458221	6940655	25479484	45145927	35353508	81750636	75219296	1074957985
JO	1516687319	6077196	159856621	359972760	341272158	170210034	262293378	138284033	42117812	6077196	159610874	245747	358241985	220264	1510511	134111596	1187547	204669222	1303793	156197970	295530	10587372	114532	3014630	219206052	472278	37794362	1518904	1489325	1812457	43963149	147788	88851321	4402852	126337	605940	186646	10086044	124092	29266001	1800365	841310	0	0	0	1115075857	2693246	379170918	10459862	5608290	2813372	535718	0	330056	11530064	48590390	249939257	247853597	177445650	372341273	366710157	14150980
LF	1507867867	5889109	2881573	452472259	24414030	371031623	513508608	71434092	24421809	5889109	129578	2751995	0	677905	451794354	0	427166	10050104	13936760	0	15526841	14165907	504656	340834219	0	5247491	84914653	13884747	2619703	406842014	0	0	11898259	2386682	4046988	1259712	51842451	0	2794424	13861065	3145821	3947853	266207	0	406439	6018687	27425822	619419574	38329142	355081916	408946668	52239619	406439	0	13093742	15290603	18706462	21927997	107290954	32791015	15241658	1274297341
NV	1466426243	801424	2662203	7718627	4414848	70054249	119065130	280836402	207147666	801424	380953	2281250	0	6949247	769380	0	4414848	0	0	0	34878430	35175819	0	0	0	90076309	28863903	0	0	124918	0	233894058	45926442	1015902	0	0	0	0	130030914	71983635	5032568	100549	0	0	0	1182377	947884384	486242148	9325892	17790059	363208	3025144	351267	0	172539285	291320781	310982219	145149942	64858784	39590667	7330200	3976972
JE	1463052212	9590810	25597494	90682752	118727224	250738451	452607391	192845190	177791200	9590810	25487805	109689	90682752	0	0	115771635	1008781	1504735	442073	113742740	400436	135555216	740912	299147	40273256	2295052	105638006	304288790	112287	0	26420356	1841202	46307395	115903488	893730	814758	664261	42004044	499210	104496462	29785592	0	160345	717415	128132	469926275	6154370	459462596	520293011	1546013	2437127	1381676	1020544	830600	59158268	90929558	197243754	192809304	337713565	532589614	29969542	11234112
NK	1455100124	1135626	9133781	253575309	577872382	164380186	185625659	184662979	33920779	1135626	0	9133781	566948	1632039	251376322	165492	5193661	121284246	451228983	0	5219169	69542126	81359584	8259307	824797	42928898	98277130	39679261	1643960	2271613	0	1642969	11737935	161460361	4486338	3322368	2013008	0	782995	4848586	12981286	11316603	490109	1772314	1728886	2692863	69092445	568153291	760658079	30581463	11146502	5227309	4272873	2899438	8740593	15276091	11850916	73199663	282152783	121320834	212123243	728923938
KN	1450401608	1033714	302401	580385372	350756459	23770593	111967368	85140334	222368686	1033714	302401	0	580385372	0	0	350756459	0	0	0	22845306	0	807238	118049	0	65621491	0	41171306	5174571	0	0	15475804	0	1491544	63291862	4881124	0	0	189460436	0	388002	2507299	30012949	0	0	0	1231649714	0	100900076	78746626	38247572	113682	332911	411027	0	206007823	16565267	75401082	27241501	485976514	591248305	420450	1033714
GS	1443474876	1836113	4490338	143073237	171263736	336602388	124955583	379077439	152241556	1836113	2500904	1989434	0	0	143073237	0	0	514574	170749162	0	0	715168	0	335887220	0	0	107899	3462461	24901767	96483456	0	0	2989563	13339762	319416	0	362428698	0	0	869609	4279903	12112312	154866	0	134824866	4337017	1989434	148270050	195198007	377975981	102809789	364133797	134824866	43277338	1574840	100179	2988609	15829504	28715806	4778588	27917245	1361099386
DY	1421751251	1136220	6405877	351807416	452722440	131238439	313758022	90938467	41580649	1136220	6269107	136770	10838693	148212	340820511	27273499	669506	525446	424253989	3895165	319799	0	2627999	124395476	40193689	3448537	2342487	2003934	120185	265649190	24347567	1768637	2420482	21845437	0	300240	40256104	11209356	0	1228681	689220	2915421	146062	0	25391909	137503800	6491461	347962352	452895151	131515121	268787924	47152314	25870295	1356554	11434071	29925020	51660708	10793583	55680936	14064098	10122119	1224600262
HY	1412343465	4155655	281455827	26896454	36956821	91658745	144874028	221771131	124832786	4155655	1821646	279634181	11198815	15404027	293612	14586617	7622949	3467022	11280233	10885800	21978819	0	7413614	51380512	17326492	48961761	0	129699	5781970	72674106	38175755	133163990	2879416	1408762	3340361	860159	41942688	29199611	31964538	3024491	3363011	5033466	268053	884420	51095196	279987202	615329137	16649875	31581076	79396455	106393404	55454033	56094467	93978103	84259415	83266885	176221319	81525285	49128908	30642746	35843894	677328868
ZE	1402290616	909968	5469646	211220591	115229724	107761047	133704578	189289602	199936812	909968	4737015	732631	56534296	837623	153848672	4563308	5469628	61236098	43960690	6342053	1801397	7292530	61342405	30982662	24148808	2823903	10363624	4914284	36324370	55129589	1828221	482134	4419416	1789970	50927858	90534508	39307495	3162976	0	1155165	4537971	2315023	1049278	106946277	80770122	105044562	20087071	239887075	117872469	143868873	147241639	151020870	271904569	95817722	4069655	4875156	50368279	20255976	21370189	137659878	706921403	446753466
KS	1339590722	1827937	912227	21815763	763654266	300322175	88731537	59853116	53932698	1827937	385462	526765	0	0	21815763	0	0	278620	763375646	0	0	714158	149254	299458763	0	0	2005801	28692793	0	58032943	116816	0	661247	16811007	2578345	0	39685701	319384	0	210138	24703176	1343065	219324	0	27137611	2872608	526765	25685727	847996102	315000555	58696856	40393675	27686369	17052016	3087824	8727498	8684151	32947286	20159873	32874562	813336	1231483115
XT	1315669490	1112363	1942632	319064920	109386940	141388785	228363600	180827980	195240615	1112363	259284	1683348	0	0	319064920	0	34080942	74948523	357475	0	130654591	10734194	0	0	0	77194643	77649935	1005788	0	72513234	0	144085030	25090326	0	161441	11344771	146412	0	171369211	20973030	0	1583287	0	0	1315087	1371647	683415142	532835977	3983198	2070912	88489049	686915	2639619	177031	40193168	174153448	165570062	102611153	214019033	46259420	86552578	396369870
BS	1292319275	2625809	19654577	60082885	86799266	70739522	146378743	265016732	145597614	2625809	2877540	16777037	0	1516351	58566534	0	2794928	815748	83188590	0	40969207	12699894	1464082	15606339	0	110161246	26034980	0	128012	10054505	0	245746599	11199818	104079	2886405	0	5079831	0	71297155	71717503	1412308	417898	0	0	752750	5503349	696679177	461450620	90596952	20914880	10174122	5663075	752750	401709	158956535	196079863	320008572	122773372	67526164	18381227	6801733	193235745
IK	1209994695	1864294	3443770	738796035	74716062	214931466	41639366	94833458	10896101	1864294	2216077	1227693	548652	735735705	2511678	424600	44812019	25056375	4423068	128594	137024339	4000456	71393500	2384577	0	7841383	3022932	15240852	12291783	3242416	0	34399522	674217	48267692	6280851	4499695	711481	0	471917	215402	1453864	762524	430382	3529938	4032074	5182217	974065509	35810153	146327899	22847144	8172493	4873758	9206839	1272787	12107849	635389	40586142	10360728	189801501	71785196	862144892	21416538
DD	1205446875	2177055	93973595	43023495	141738638	301466875	177912864	235143622	94618065	2177055	3748148	90225447	0	30893821	12129674	0	114517207	26968838	252593	0	31867013	268168496	1431366	0	0	78096637	77268208	21965143	401074	181802	0	122901279	89417276	9348931	13476136	0	0	0	62702903	13781171	3102795	2476258	12343430	211508	0	5925203	626852834	495815732	37344211	19274148	15634191	1866799	2622480	0	92096742	69691964	137566792	171349593	124069369	434473729	63926265	104966571
CY	1176324279	1265738	4587839	16120237	109087525	290562628	83253795	180408300	198001400	1265738	1261982	3325857	3551701	649673	11918863	50637265	0	0	58450260	27962348	997921	1037647	329236	260235476	19004882	716149	6482542	687327	246815	56116080	28120587	574715	3424407	1033027	342899	0	146912665	14902816	1021016	3440806	1411532	1916524	1502401	150909	173655396	167389237	7285331	37090213	64124396	271323014	69831492	157837964	179137906	136624076	17115906	35324714	30687962	37681238	77650151	11479808	2638615	932251746
RP	1173542093	2340357	9944068	11628550	64565733	68508826	221406686	135232957	141417376	2340357	5157603	4786465	1178476	337957	10112117	0	241988	26871438	37452307	0	3229886	60415396	4863544	0	0	4029634	190308774	21284596	2487042	3296640	0	869188	125114867	4667638	3781457	0	799807	0	1221054	103736165	9277539	27067055	115563	0	0	8676436	15123361	691012006	87161481	317522532	15133326	32274710	5374913	0	102248602	94711432	181415642	234362756	238456802	87892772	40528718	58787693
SK	1112771273	1317649	131604590	311343744	321293858	151659199	77065034	63825854	23853009	1317649	38482500	93122090	70205869	16482918	224654957	63927979	175737217	71584047	10044615	78102102	32552103	23883913	15448742	1672339	37762309	1743225	19905223	8536715	6680410	2437152	34878048	0	3943373	7582009	2608964	12543415	2270045	8744952	0	6126723	3267632	881751	1277045	3554906	0	342493709	319637553	358443737	45371779	13873659	16653883	6278318	7097409	1936512	9284169	42350928	44903978	88156493	125537665	282534841	172656135	336172437
XI	1111463633	16462070	39067478	73697376	128138673	150361995	222370424	137185650	162097499	16462070	33855555	5211923	13521393	53124740	7051243	454335	99461008	27943382	279948	356477	54062273	86998132	8339238	605875	328577	32132189	150550987	35122569	3653340	582762	900370	73135389	18640704	24179448	14856538	5473201	0	0	104343657	25302819	9981401	3033744	15680931	3754947	0	65878777	430768822	327953669	95262572	35833324	102253082	43423785	4868200	4470134	7334772	188441536	114847113	81710822	241118199	297951032	140036753	30193821
OE	1089254517	1711333	54739188	609819109	87596891	122249689	53662583	41282915	25705773	1711333	1393600	53345588	4844865	595025108	9949136	0	57609860	20337637	9649394	2457853	77791754	2460887	29086225	10452970	4832109	9750313	15896120	1883288	18466868	2833885	0	19276374	313660	399828	1512778	19118701	661574	885618	1176412	3583435	1657460	3661407	523073	12407548	1810820	18480551	853460886	57128260	47563780	52907081	35312395	15894994	6244361	1684100	18460371	5883910	30823692	16742908	108236514	70562670	700151722	90647035
OY	1020190223	748770	134643643	83088904	166229855	81646897	120555314	163818917	146027148	748770	626835	134016808	348588	75295631	7444685	142929	101909193	13791898	50385835	2534396	32592021	1711815	16232398	28576267	2253283	38661238	2365534	33067527	9774878	34432854	0	9179521	1906756	12439215	134292964	4428230	1572231	0	11264386	0	17333431	79139207	36785647	100686	1403791	6654801	403996426	27220688	131300186	328414375	87525152	31768661	1983348	405201	1127151	11264386	15763396	157223793	138351554	316617553	120932353	258729759
WS	989253674	1672547	1493251	267948891	299926972	76662304	214264408	23174744	39189125	1672547	467444	1025807	368074	0	267580817	180565	0	332070	299414337	0	136381	8209858	2900815	65415250	0	0	4346508	4440738	0	205477162	0	0	5250790	4668794	602107	0	12653053	0	0	33220623	839311	0	1375377	0	3753814	2688630	1162188	349721457	313767543	67681056	218369057	13967562	3897126	16850097	1053893	28983152	34724171	10731821	17870745	16453975	3700329	874991842
LV	984229060	1937710	1591961	4998672	50418535	172146989	106654602	215098650	135189826	1937710	475719	1116242	692111	3077508	1229053	392600	5315105	44491296	219534	337395	2029691	118985280	50605690	188933	0	2716342	38907482	20078080	44851502	101196	0	4760137	19719389	5561605	178269351	6788168	0	0	0	30550089	0	41591821	63047916	0	0	3835535	19015025	263013986	77068609	292509764	72779245	253587788	1831849	266461	2097106	5691572	61445197	52305141	91471757	613582234	150289883	4792668
DL	911886482	4449511	7833145	14309380	33327112	331183533	184963665	148844960	68080260	4449511	3928085	3905060	122708	13040727	1145945	0	4178076	28819108	329928	0	1013407	12992121	317178005	0	0	0	20127801	69201461	95634403	0	0	2890364	2679491	77171622	7388529	58714954	0	0	0	3256955	23548252	11514798	2861282	26898973	0	8500304	25027634	69248061	499471290	117592993	86926537	27516284	43001318	24977403	1285287	3726628	17903301	27188371	136607494	97012622	618185119	9830444
RF	909634941	4438268	3967792	8954634	11787004	4932693	288286931	117109072	192434029	4438268	1909965	2057827	548926	0	8405708	0	205120	2665330	8916554	0	799193	2335173	1514069	284258	0	0	275221099	12445787	0	620045	0	0	40485685	5640590	70982797	0	0	0	178775	104499159	3808067	47869313	35907578	0	171137	6897159	3392763	603498303	35888171	198169101	52970595	6101043	1386050	883473	116158658	71854151	132437961	79423553	338320395	122544115	6822068	26225553
EU	878402090	10920599	10283808	35057669	47222948	223346020	109889821	177327972	94719265	10920599	4363939	5919869	3613779	24665881	6778009	3192523	13501026	28241766	2287633	120147377	32752904	13012392	53534883	3898464	6456201	50721847	4567922	9353139	37895185	895527	103247588	31490035	6447525	5325237	3534292	25506384	1776911	21217857	20797508	13146921	4172096	12645531	3086960	17892189	1760203	281835532	237738049	110837835	76843683	63550484	30824119	42905914	13848584	3547673	45728064	157021971	61307931	191682119	76730530	55061933	203138472	35684578
DG	874188188	1410705	538151	50512694	142569447	160354369	59470216	91621218	287870383	1410705	140936	397215	0	48841538	1671156	0	26146782	116422665	0	0	897754	104203964	55252651	0	0	118291	31898892	26759815	693218	0	0	837812	70999366	8533361	3242124	8008555	0	0	922108	29002856	2152911	235652	1247582	254309274	0	1551641	78161500	358321492	96728359	5275917	10345640	261026618	3650798	56073745	327488	9386188	43335963	79569309	45909787	186716329	505290453	3652671
WR	867361010	1128404	1516436	15439117	289435824	106642061	331879825	76905412	14112081	1128404	1355510	160926	13990069	704728	744320	284015134	0	5420690	0	105130771	0	1388674	122616	0	328483365	0	3396460	0	0	0	55167964	0	20800955	629045	0	307448	0	6400712	0	5395833	527333	1788203	0	0	0	800161510	865654	37402784	1468970	21123205	5415052	923835	0	0	6400712	55306616	348067399	137217487	290438630	15378743	7910992	2033650
XA	834649781	813704	0	6955350	69000713	7717811	420642234	145462120	58700618	813704	0	0	0	4976563	1978787	0	33620127	35078042	302544	1752528	2477556	3373414	0	114313	113167	409796194	9654816	695258	382799	0	346025	118144876	26726299	0	244920	0	0	0	18805285	4212993	35098297	391327	0	192716	0	3025424	680823534	82565386	47574217	17133175	744429	666391	582537	1351456	6411032	21077908	132455565	489772608	13010022	39256588	40630120	3209348
YI	812619095	2614744	3487404	1231549	97263097	258952653	130014656	143784577	51757425	2614744	3159870	327534	1023492	208057	0	37925706	58693837	643554	0	16083187	0	241844346	1025120	0	13295908	0	3460577	112499194	0	758977	7418209	0	0	329965	136036403	0	0	0	0	0	331268	1391147	50035010	0	0	81521116	59229428	246960430	114185547	137530164	50793987	80748713	24611137	16642592	0	8430162	13295908	16628925	43525114	721835509	5036601	3866876
NM	782441941	9590509	3710415	1672843	1007817	9376667	22138244	7420403	17088997	9590509	3256081	454334	1045157	443010	184676	0	1007817	0	0	0	6836030	2417520	123117	0	0	7866386	11751483	2520375	0	0	0	3848999	1765752	827059	978593	0	0	0	7586157	822978	107083	8169463	403316	0	0	13891747	38525836	19939381	3709718	10842973	478914083	169645564	14502833	27999402	5730649	8699141	77848730	74654482	582584745	8372778	3822208	10229519
EB	763383542	1559951	49584413	54587292	57305331	133488513	149056727	157832147	66678788	1559951	3036963	46547450	3017422	49597005	1972865	3105719	47035189	4400483	2763940	1075187	87944567	31982719	11369353	1116687	419914	72571436	11255749	11044672	53407908	357048	1767829	84721044	8435686	58702954	2821417	406264	976953	725563	25311365	3028646	21140836	14461114	558341	876140	576783	15149954	430452770	65185173	158271879	80899726	5160664	4712111	1494536	727704	21113832	46215848	121137398	111792758	179446541	96768075	123094116	55871677
RB	753194669	2094030	4314392	30477693	98166267	158937330	107334870	79323168	111217488	2094030	1360658	2953734	297296	1285123	28895274	0	70381243	27314115	470909	0	8441138	117833056	16069649	16593487	0	7778596	75915550	4777361	9742244	9121119	0	6436417	27926419	10006367	30034923	4668413	250629	0	19836723	49315601	7690105	15418464	18837387	119208	0	3751984	141350263	366535786	45037260	88043619	86661223	8169769	12964238	424828	11120006	49024131	80789530	68619302	135593388	251139362	60559410	60496939
TM	746621025	3300282	7163131	7048469	1535688	19114298	17852497	9546680	204133992	3300282	2255526	4907605	107702	5330710	1610057	0	1264156	271532	0	0	12965420	6148878	0	0	0	0	2560126	13758620	1533751	0	0	0	1083191	8232001	231488	0	0	0	0	0	5796879	176004330	22332783	0	0	5663510	70537169	11909622	50894430	199797829	335849171	52683678	5661729	1705391	35930786	10793007	13139524	98327320	507992749	44649703	9391519	9817944
XC	746076293	546133	486151	767990	5260284	189901587	54239523	136123162	212867232	546133	270098	216053	352749	415241	0	218342	5041942	0	0	0	189657734	243853	0	0	0	53705560	533963	0	0	0	0	135923599	0	199563	0	0	0	0	212867232	0	0	0	0	0	0	1387322	742033550	777816	1680511	197094	0	0	0	0	73515954	213687181	136229129	53705560	190609602	5638544	685339	762186
EH	742240059	4039420	3459950	5468341	13787119	179841944	68439082	150178143	122989438	4039420	439719	3020231	460249	4236881	771211	0	9324128	2065635	2397356	342060	174273428	893653	785832	3546971	1315148	39518031	3217533	23182857	252128	953385	151017	129579001	667812	16911822	1308279	297672	1262540	524634	60522198	546765	9015067	49539207	2841567	0	0	7727014	470429686	15179704	58345471	117649921	62206362	1681680	8319515	0	38673795	129719582	151219741	70494675	260344805	38010733	8798120	15991114
TC	736955048	5214608	18366497	3879121	183159465	56341547	177637847	164171683	59284177	5214608	5882423	12484074	389483	2371317	1118321	0	367617	182791848	0	0	2422562	3170002	50748983	0	0	4350771	154764095	1075371	17447610	0	0	1478263	93481895	56517378	2270456	10423691	0	0	0	12041137	18819414	27113702	773997	535927	0	12203901	23474604	461108952	134360588	64462983	27768221	636332	12226527	463163	3804438	18335145	18808217	130507857	255715913	8046926	280426186	18817003
GY	731420025	886271	3025632	3279429	46608940	171742111	66935850	127121993	74373075	886271	2552958	472674	1092558	0	2186871	3857096	31417662	174200	11159982	2355812	290892	2976527	205606	165913274	3483673	0	995022	0	0	62457155	1052750	16056382	0	0	750848	0	109262013	3052768	5114484	0	193226	8523623	319604	0	57169370	23226788	53588382	6543311	11834245	175900281	63229554	109262013	57275317	152062500	3180354	6496881	19815486	3595413	13666633	36663146	2932764	640067744
JA	729206855	5046793	41059258	109551819	220905670	60488403	146725631	118617579	11639567	5046793	40798861	260397	101887125	1645976	6018718	214276751	0	4414393	2214526	45181391	389804	1768052	12827117	322039	139121294	311337	4280097	1699296	1313607	0	80944916	268813	19630731	15183634	505122	214351	1870012	4386852	287692	3023602	1651797	598150	1102391	589083	0	640482829	5259789	39961519	33724277	2738918	1534010	3018190	2487323	0	5123446	81556618	142778884	66976116	234849688	108287686	63201994	15732485
HN	726288117	716146	1639431	247826622	9238982	40414468	53396117	21590080	131235314	716146	239295	1400136	0	1250078	246576544	0	899961	6888776	1450245	0	0	35171980	4019206	1223282	0	0	43385254	5967088	4043775	0	0	0	7601710	10973753	2737615	0	277002	0	0	13289495	106928814	9713545	1013805	0	289655	955441	3550175	364080031	314072223	18224857	3879560	10298821	6663433	2455149	19517202	13239293	150589909	116093758	76152441	49725559	17510600	254166361
YP	702499946	248544	685774	202212306	144629916	23014759	68550544	41382353	62485248	248544	0	685774	0	202212306	0	600186	110545693	32888733	595304	0	19153200	2256403	1605156	0	0	62808434	3227623	1019746	1494741	0	0	16295537	18783487	483770	1457294	4362265	0	195196	41803824	5489244	1357199	1313209	2717180	9609396	0	1043926	569776436	67351843	9424714	6585120	10291799	23586930	13830207	0	55540810	46268704	22884025	87798102	32566369	133983845	255232069	1529622
ZA	702199296	1367635	2182056	13255316	25280154	42902800	41516353	18779477	57289979	1367635	2027061	154995	4102236	3825856	5327224	3693487	2114722	4752850	14719095	5835740	710816	21820623	5603410	8932211	2635513	1373153	23797022	3474645	4224009	6012011	2473049	0	3539956	7322724	2443227	462350	2538171	2246065	0	14744988	33164987	251536	3038572	281147	3562684	25351579	8583142	78453138	69259444	20628887	37729508	277609418	66078790	57205450	2873881	36202777	88767883	423225806	44035791	38276455	23598667	43283694
GG	697999944	920475	20637086	27158180	17519209	74195282	140830544	131300730	128604245	920475	0	20637086	0	24322548	2835632	0	784539	11607505	5127165	0	162203	68782524	5250555	0	0	0	115494819	23172146	364272	1799307	0	1129781	54987370	16082669	59100910	0	0	0	19791316	73761366	10737808	19215040	5098715	0	0	920475	120676804	393409480	81802015	91220809	7906277	872622	690079	144563	63453517	73789876	81447281	76722623	152433474	158198857	41544880	31489372
