2-gram	*/*	2/*	3/*	4/*	5/*	6/*	7/*	8/*	9/*	2/1:2	3/1:2	3/2:3	4/1:2	4/2:3	4/3:4	5/1:2	5/2:3	5/3:4	5/4:5	6/1:2	6/2:3	6/3:4	6/4:5	6/5:6	7/1:2	7/2:3	7/3:4	7/4:5	7/5:6	7/6:7	8/1:2	8/2:3	8/3:4	8/4:5	8/5:6	8/6:7	8/7:8	9/1:2	9/2:3	9/3:4	9/4:5	9/5:6	9/6:7	9/7:8	9/8:9	*/1:2	*/2:3	*/3:4	*/4:5	*/5:6	*/6:7	*/7:8	*/8:9	*/9:10	*/-9:-8	*/-8:-7	*/-7:-6	*/-6:-5	*/-5:-4	*/-4:-3	*/-3:-2	*/-2:-1
UA	3844138094	1144269	10831198	46939633	236384037	477641436	653160322	787510825	592170947	1144269	1922674	8908524	107144	44692297	2140192	0	61767377	169670543	4946117	0	46434149	93087135	328083079	10037073	0	198197923	267675170	97863697	86683675	2739857	0	99675684	100128002	210922927	348734659	26812902	1236651	0	111956955	34227511	168191598	162024847	22860351	87535308	5374377	3174087	696591230	676864845	904262302	736901254	175233193	190469364	370004372	14365784	74779319	138629695	243780930	651470693	813542787	763552268	1040272084	37428432
UP	3835093459	975409474	40420823	567310445	453292835	458959439	404043777	315791855	170977817	975409474	6686413	33734410	533938304	18189675	15182466	95174966	57592789	5346409	295178671	55132678	150677236	55222899	181089790	16836836	35752458	306848027	30512369	9769445	12075175	9086303	27679451	198286969	15603762	63254184	2262653	4763402	3941434	13561301	103601926	7201566	17640157	7672645	11336487	8741008	1222727	1750039244	1144000661	133545429	632142675	75723706	41659001	47663015	4414301	5905427	134007964	149846787	289905452	429850947	381224198	672548762	238695586	1352072736
LU	3811884104	4259891	12995376	287173919	462258896	450375277	428674675	636173629	670312140	4259891	9788570	3206806	86796420	196152799	4224700	79479587	119308959	263023864	446486	60411339	56023545	311962322	21618099	359972	24678897	82741047	83880509	207405086	29734898	234238	24478686	55037528	220376007	217474236	79462659	36636217	2708296	20543010	36922348	100279080	444928157	55486537	4396844	7756164	0	325523279	596881049	1178767431	1079934773	489576873	67434814	22592810	35542314	11552818	160654722	168483597	357280625	1057698835	512678422	815513978	597201345	15440389
GO	3725558729	323996019	629097149	865308199	454184718	216162739	192951972	218902364	158677303	323996019	538799294	90297855	845724616	5663827	13919756	378617402	6902183	29247073	39418060	138033895	1925896	27588578	41987108	6627262	58568905	3757476	19392756	22038076	13337172	75857587	114149116	2988704	26959192	17749844	43925504	5875118	7254886	50236870	2142727	24928095	32677686	22212846	22454013	3575288	449778	2913476948	115722187	215235090	163188284	164223611	128588224	16419820	1618908	4008849	72827442	155767930	107848323	262212283	454479460	974754631	639449331	560590436
HT	3670802795	2315948	2717462	8216054	1491038915	705142752	665636912	405675106	170374956	2315948	1205273	1512189	6956425	154377	1105252	108716	388578	1036510	1489505111	0	192808	2068446	231543717	471337781	0	0	757558	69051798	45018524	550809032	0	1066897	334265	81155505	159760884	69998920	93358635	0	286428	121964	37784030	39666995	24476500	439970	67599069	10586362	3812351	11118518	1962787377	748802428	696279196	113266594	92177044	19677218	11386602	21980340	50233917	81273349	145582851	279805844	364603312	2701600742
RU	3618438291	1236680	132952989	520839078	719462233	399825816	378958501	350546178	332668475	1236680	131254232	1698757	224206583	280398350	16234145	208608672	433639249	72062486	5151826	176653917	97928691	82899230	41728725	615253	184058420	134137845	17236719	24671494	18565191	288832	29140015	98241877	85838271	78547822	28199978	30402344	175871	5301823	40045157	198003656	33840775	9752460	38854953	6869651	0	970905512	1127858932	600144442	232413452	356411656	245123034	21999703	58794832	2963627	41489740	260614430	809149973	566659976	424872403	840601267	593756331	25401364
UG	3606562400	1603427	27363935	130470146	232381796	854697570	1291899162	606674061	166091302	1603427	1049909	26314026	8809749	58275285	63385112	0	108064552	121641883	2675361	4620061	114721266	205796042	528777645	782556	800594	75442549	74163119	489029813	652361992	101095	1597942	70591051	110468748	122465376	15489056	286061888	0	0	91701596	30671358	32820040	3922378	5016329	1781458	178143	18481682	621718659	609887913	1209752295	793976222	323031032	4214832	12706559	5776915	59217790	104825537	128174051	344048879	342963114	840341114	1664375326	95039720
DS	3560125353	3418137	47235351	193286619	1336344595	444917532	819495505	202416670	274094951	3418137	5557333	41678018	0	155139	193131480	113172	479655	19980422	1315771346	0	418778	13607229	6149180	424742345	0	0	4028960	12239955	903113	802323477	0	2343276	1776315	36571709	10773513	413157	150538700	0	901191	5024617	56226615	7443527	2506899	0	201992102	9088642	51257703	239279176	1453963965	448374387	837616339	161708828	204699668	89085974	6008220	6442020	33745534	70131729	75301988	47731437	33444921	3287176474
LT	3486149365	12083770	17276749	275860150	329005508	659607160	596184268	589561510	345033892	12083770	12936779	4339970	369209	5787302	269703639	335406	39152147	69680455	219837500	213853	7482807	127870839	293463343	230576318	293234	20568250	181359901	77839542	266417310	49706031	0	315108806	191856645	15884464	52936554	7655002	6120039	0	15559824	50811624	16468204	80452635	18568206	12400936	150772463	26232251	589582968	1012332536	637743416	680114488	125672125	121525479	270638153	3125923	113406210	89620370	395867444	303886220	405505492	318788671	745861481	946494121
PI	3470838749	13464517	54910252	183905111	362659036	573943638	880449226	540577923	335610229	13464517	48202852	6707400	156513254	24119034	3272823	190309075	74385124	96178314	1786523	171749662	171428677	198937721	31164703	662875	177818133	168611614	268971877	252901660	12022723	123219	85084810	83017377	29013221	129969617	201099367	11352186	1041345	29186162	84234909	72544895	74362125	32740646	35341228	7200264	0	908065459	664002344	750065048	574939127	296306593	99543879	96705587	24896735	21122823	86797798	294350842	384703287	480434032	832396720	1014191139	253810492	43836499
