      1 1372.2   0.729       1       78.0 Puzzle 1
      1   41.5  24.121       1        1.0 Puzzle 174
      1   19.6  50.955       1        0.0 Puzzle 175
      1   35.2  28.403       1        0.0 Puzzle 176
      1   93.2  10.729       1       39.0 Puzzle 177
      1   47.6  20.997       1       21.0 Puzzle 178
      1   37.5  26.638       1        0.0 Puzzle 179
      1   47.8  20.942       1        3.0 Puzzle 180
      1   66.8  14.963       1        7.0 Puzzle 181
      1   72.6  13.769       1       26.0 Puzzle 182
      1   49.5  20.219       1        4.0 Puzzle 183
      1   48.8  20.495       1        1.0 Puzzle 184
      1  225.6   4.432       1      145.0 Puzzle 185
      1   65.8  15.209       1       33.0 Puzzle 186
      1   68.6  14.572       1        7.0 Puzzle 187
      1   43.0  23.234       1        0.0 Puzzle 188
      1   36.0  27.778       1        1.0 Puzzle 189
      1   30.0  33.333       1        1.0 Puzzle 190
      1   31.0  32.258       1        0.0 Puzzle 191
      1   22.2  45.029       1        0.0 Puzzle 192
      1   67.5  14.815       1       16.0 Puzzle 193
      1   51.8  19.308       1        4.0 Puzzle 194
      1   50.3  19.884       1        8.0 Puzzle 195
      1   53.2  18.794       1       14.0 Puzzle 196
      1  227.7   4.392       1      184.0 Puzzle 197
      1   44.1  22.663       1        0.0 Puzzle 198
      1   27.3  36.641       1        0.0 Puzzle 199
      1   41.8  23.905       1        4.0 Puzzle 200
      1   24.9  40.201       1        0.0 Puzzle 201
      1   18.9  52.863       1        0.0 Puzzle 202
      1   19.3  51.835       1        0.0 Puzzle 203
      1   29.8  33.567       1        0.0 Puzzle 204
      1   29.0  34.434       1        0.0 Puzzle 205
      1   27.1  36.866       1        1.0 Puzzle 206
      1   24.9  40.201       1        1.0 Puzzle 207
      1  230.7   4.335       1      169.0 Puzzle 208
      1   64.1  15.605       1       11.0 Puzzle 209
      1   56.8  17.595       1       10.0 Puzzle 210
      1  221.5   4.515       1      163.0 Puzzle 211
      1   73.3  13.636       1       37.0 Puzzle 212
      1  220.0   4.545       1      161.0 Puzzle 213
      1   37.6  26.607       1        2.0 Puzzle 214
      1   40.8  24.515       1        3.0 Puzzle 215
      1   43.3  23.121       1        2.0 Puzzle 216
      1   49.1  20.373       1       23.0 Puzzle 217
      1  122.2   8.186       1       77.0 Puzzle 218
      1   61.4  16.282       1       11.0 Puzzle 219
      1   86.9  11.505       1       32.0 Puzzle 220
      1   59.3  16.878       1        9.0 Puzzle 221
      1   39.3  25.424       1        1.0 Puzzle 222
      1   55.5  18.018       1       10.0 Puzzle 223
      1   34.3  29.161       1        1.0 Puzzle 224
      1   49.1  20.356       1        7.0 Puzzle 225
      1   41.2  24.267       1        1.0 Puzzle 226
      1  131.3   7.614       1       37.0 Puzzle 227
      1   48.8  20.513       1        0.0 Puzzle 228
      1   49.2  20.322       1        1.0 Puzzle 229
      1   34.5  29.021       1        1.0 Puzzle 230
      1   35.2  28.437       1        5.0 Puzzle 231
      1   31.9  31.332       1        1.0 Puzzle 232
      1   48.4  20.672       1        4.0 Puzzle 233
      1   51.5  19.433       1        6.0 Puzzle 234
      1   62.0  16.129       1       10.0 Puzzle 235
      1  130.3   7.673       1       57.0 Puzzle 236
      1   42.5  23.507       1        1.0 Puzzle 237
      1   43.4  23.032       1        0.0 Puzzle 238
      1   41.4  24.169       1        1.0 Puzzle 239
      1  103.9   9.627       1       36.0 Puzzle 240
      1   79.2  12.632       1        9.0 Puzzle 241
      1   34.9  28.674       1        1.0 Puzzle 242
      1   41.2  24.291       1        0.0 Puzzle 243
      1   36.8  27.211       1        0.0 Puzzle 244
      1   56.3  17.778       1       17.0 Puzzle 245
      1   32.7  30.612       1        0.0 Puzzle 246
      1  129.8   7.705       1       82.0 Puzzle 247
      1   47.0  21.258       1        8.0 Puzzle 248
      1   34.7  28.812       1        1.0 Puzzle 249
      1   32.5  30.808       1        0.0 Puzzle 250
      1   19.8  50.421       1        0.0 Puzzle 251
      1   66.8  14.972       1       20.0 Puzzle 252
      1   38.2  26.173       1        1.0 Puzzle 253
      1   58.1  17.204       1        8.0 Puzzle 254
      1  271.4   3.684       1      166.0 Puzzle 255
      1   64.8  15.434       1        2.0 Puzzle 256
      1   39.5  25.316       1        6.0 Puzzle 257
      1   41.5  24.096       1        2.0 Puzzle 258
      1   43.8  22.836       1        5.0 Puzzle 259
      1   40.0  25.000       1        0.0 Puzzle 260
      1   28.1  35.609       1        0.0 Puzzle 261
      1   35.3  28.335       1        0.0 Puzzle 262
      1   33.4  29.925       1        2.0 Puzzle 263
      1   34.1  29.304       1        0.0 Puzzle 264
      1  251.6   3.974       1      160.0 Puzzle 265
      1   72.2  13.857       1       20.0 Puzzle 266
      1   55.7  17.964       1        3.0 Puzzle 267
      1   92.0  10.875       1       37.0 Puzzle 268
      1  123.3   8.114       1       36.0 Puzzle 269
      1   84.2  11.875       1       38.0 Puzzle 270
      1   34.7  28.811       1        1.0 Puzzle 271
      1   93.9  10.648       1       50.0 Puzzle 272
      1   65.4  15.296       1       13.0 Puzzle 273
      1   38.0  26.287       1        1.0 Puzzle 274
      1   23.8  41.957       1        0.0 Puzzle 275
      1   34.5  28.986       1        2.0 Puzzle 276
      1   75.0  13.333       1       20.0 Puzzle 277
      1   54.5  18.335       1       20.0 Puzzle 278
      1   31.9  31.373       1        1.0 Puzzle 279
      1   34.3  29.126       1        0.0 Puzzle 280
      1   50.7  19.721       1       15.0 Puzzle 281
      1   28.8  34.783       1        0.0 Puzzle 282
      1   68.7  14.554       1       23.0 Puzzle 283
      1   56.0  17.844       1       14.0 Puzzle 284
      1   44.6  22.409       1        1.0 Puzzle 285
      1   36.0  27.810       1        1.0 Puzzle 286
      1   38.1  26.230       1        1.0 Puzzle 287
      1   49.5  20.185       1        7.0 Puzzle 288
      1   29.9  33.426       1        0.0 Puzzle 289
      1   50.5  19.818       1       10.0 Puzzle 290
      1   52.0  19.231       1        5.0 Puzzle 291
      1   66.5  15.047       1       18.0 Puzzle 292
      1   47.8  20.906       1       18.0 Puzzle 293
      1   32.4  30.888       1        0.0 Puzzle 294
      1   30.9  32.389       1        0.0 Puzzle 295
      1   35.9  27.843       1        0.0 Puzzle 296
      1   47.1  21.220       1        2.0 Puzzle 297
      1   44.1  22.663       1       17.0 Puzzle 298
      1   33.9  29.520       1        5.0 Puzzle 299
      1   58.1  17.204       1        7.0 Puzzle 300
      1   31.5  31.788       1        1.0 Puzzle 301
      1   23.4  42.781       1        0.0 Puzzle 302
      1   36.6  27.304       1        7.0 Puzzle 303
      1   44.8  22.346       1        3.0 Puzzle 304
      1   30.8  32.433       1        0.0 Puzzle 305
      1   44.7  22.367       1        7.0 Puzzle 306
      1   39.3  25.423       1        2.0 Puzzle 307
      1   49.1  20.374       1        6.0 Puzzle 308
      1   32.1  31.169       1        4.0 Puzzle 309
      1   37.8  26.431       1        1.0 Puzzle 310
      1   90.2  11.091       1       71.0 Puzzle 311
      1   30.1  33.195       1        1.0 Puzzle 312
      1   71.5  13.986       1       17.0 Puzzle 313
      1   65.2  15.336       1       23.0 Puzzle 314
      1   46.8  21.372       1        1.0 Puzzle 315
      1   24.9  40.201       1        0.0 Puzzle 316
      1  160.1   6.245       1      123.0 Puzzle 317
      1   36.1  27.714       1        1.0 Puzzle 318
      1   45.5  21.998       1        5.0 Puzzle 319
      1   29.5  33.898       1        1.0 Puzzle 320
      1   65.2  15.345       1       36.0 Puzzle 321
      1   41.1  24.340       1        4.0 Puzzle 322
      1   35.4  28.235       1        0.0 Puzzle 323
      1   48.1  20.797       1        8.0 Puzzle 324
      1  477.3   2.095       1      403.0 Puzzle 325
      1   49.9  20.050       1        9.0 Puzzle 326
      1   35.5  28.136       1        0.0 Puzzle 327
      1  232.0   4.310       1      179.0 Puzzle 328
      1   61.8  16.194       1        1.0 Puzzle 329
      1   38.8  25.751       1        0.0 Puzzle 330
      1   37.1  26.936       1        0.0 Puzzle 331
      1   77.8  12.855       1        3.0 Puzzle 332
      1   38.2  26.201       1        1.0 Puzzle 333
      1   46.1  21.700       1        1.0 Puzzle 334
      1   41.8  23.905       1        0.0 Puzzle 335
      1   45.0  22.243       1        7.0 Puzzle 336
      1   34.4  29.091       1        3.0 Puzzle 337
      1  390.4   2.561       1      285.0 Puzzle 338
      1   56.7  17.647       1        6.0 Puzzle 339
      1   98.9  10.114       1       52.0 Puzzle 340
      1   35.1  28.503       1        1.0 Puzzle 341
      1   31.5  31.746       1        0.0 Puzzle 342
      1   32.3  30.927       1        0.0 Puzzle 343
      1  128.2   7.802       1      100.0 Puzzle 344
      1   28.9  34.582       1        2.0 Puzzle 345
      1   29.8  33.566       1        0.0 Puzzle 346
      1   21.8  45.802       1        0.0 Puzzle 347
      1   24.4  41.026       1        3.0 Puzzle 348
