date	title	hours	miles	feet
Sat, 6/10/2017	Los Gatos / Creek Trails	3:50:24	56.28	1,365
Sat, 3/4/2017	Lunch Ride	3:58:25	56.26	1,378
Sun, 8/5/2018	Bike Ride Northwest Day 1	3:34:42	55.77	1,824
Sat, 8/13/2016	Petaluma / Point Reyes	4:30:12	54.75	5,286
Sun, 6/7/2015	Tour de Cure	3:59:47	54.65	2,748
Wed, 12/16/2015	Los Gatos	4:00:41	53.86	2,595
Fri, 6/2/2017	Morning Ride	3:57:45	53.49	1,375
Sun, 6/8/2014	Tour de Cure 75K	4:03:05	53.10	2,596
Sun, 11/6/2016	Los Gatos	3:38:28	52.49	1,263
Fri, 2/10/2017	Morning Ride	3:52:39	52.02	1,739
Sat, 2/23/2019	Crystal Springs Dam	4:02:11	51.93	1,946
Fri, 8/11/2017	Saratoga with Peter H	4:30:31	51.74	2,871
Sat, 2/4/2017	Canada Rd	3:46:34	51.66	1,762
Sun, 6/9/2013	Silicon Valley Tour de Cure 75K	3:58:37	51.63	2,929
Sun, 9/3/2017	Morning Ride	4:22:45	51.31	2,526
Mon, 7/27/2015	Palo Alto Cycling	3:48:23	50.93	1,306
Wed, 7/29/2015	Palo Alto, CA	3:47:53	50.92	1,873
Sun, 6/26/2016	Los Gatos	3:16:33	50.78	1,181
Mon, 8/10/2015	Palo Alto, CA	3:41:54	50.73	1,325
Sat, 10/15/2016	Los Gatos	3:28:16	50.64	1,368
Tue, 12/19/2017	Los Gatos	3:46:37	50.49	1,929
Fri, 6/28/2013	Kaffeehaus San Mateo	3:38:11	50.38	1,028
Thu, 10/5/2017	Big Sur	4:33:33	50.38	4,528
Sun, 11/20/2016	Lunch Ride	3:32:01	50.13	1,847
Sat, 1/13/2018	Canada to Coyote Point	3:59:24	50.09	1,499
Fri, 1/13/2017	Los Gatos Creek	3:52:28	50.01	1,598
Sun, 6/11/2017	Tour de Cure with Juliet	4:11:01	49.49	2,713
Sun, 9/11/2016	Santa Cruz via Mountain Charlie Rd	4:03:04	48.78	3,300
Sat, 7/23/2016	Morning Ride	3:30:50	48.45	1,063
Fri, 3/25/2016	Morning Ride	3:39:53	47.93	2,438
Sat, 8/20/2016	Tour de Menlo with Juliet	3:30:24	47.52	2,133
Wed, 11/11/2015	Morning Ride	3:45:01	46.54	2,559
Fri, 7/21/2017	Morning Ride	3:35:00	46.19	748
Sat, 9/2/2017	Canada / Sheep Camp Trail	3:45:45	45.72	2,034
Mon, 1/19/2015	Canada Rd, etc.	2:57:14	45.64	1,836
Sun, 11/27/2016	Morning Ride	3:04:11	45.60	1,378
Sun, 7/2/2017	Afternoon Ride	3:10:38	45.30	581
Sat, 10/3/2015	Los Gatos	2:59:26	45.21	1,148
Sat, 7/2/2016	Morning Ride	3:23:20	45.21	1,991
Mon, 1/16/2017	Morning Ride	3:34:28	45.15	1,434
Sun, 1/15/2017	Lunch Ride	3:18:47	45.12	1,873
Sun, 4/9/2017	Lunch Ride	3:10:28	44.76	636
Sun, 10/15/2017	Los Gatos	2:51:53	44.71	1,437
Tue, 10/8/2013	work	3:22:55	44.58	961
Thu, 7/16/2015	Mountain View, California	3:29:45	44.34	1,339
Sat, 10/28/2017	Mindego Ridge Winery	4:17:45	44.28	4,331
Sun, 9/2/2018	Saratoga	3:31:02	44.04	1,900
Fri, 9/23/2016	Los Gatos	2:53:22	43.93	1,339
Sat, 7/25/2015	Palo Alto, California	4:02:27	43.62	4,819
Sat, 7/8/2017	Dumbarton / Niles	3:14:55	43.54	627
Sat, 6/9/2018	Kings Mountain	3:41:47	43.47	3,543
Fri, 3/10/2017	Morning Ride	4:13:51	43.22	4,554
Sat, 3/26/2016	Morning Ride	3:36:57	43.18	3,173
Sun, 10/18/2015	Afternoon Ride	3:00:02	43.04	2,323
Sat, 9/20/2014	Kings Mountain	3:26:36	43.00	3,299
Sat, 8/11/2018	Bike Ride Northwest Day 7	3:25:20	42.39	2,241
Sat, 3/18/2017	Morning Ride	3:37:01	42.29	2,231
Sat, 7/11/2015	Walnut Creek, California	3:09:38	42.29	3,284
Thu, 1/22/2015	OLH, etc.	3:25:09	42.15	2,957
Sun, 11/9/2014	Palo Alto, CA	3:24:57	42.10	3,096
Sun, 5/15/2016	Afternoon Ride	2:55:51	41.98	1,693
Sat, 3/25/2017	Morning Ride	3:37:45	41.94	2,874
Sun, 6/14/2015	Palo Alto, CA	2:46:38	41.67	1,086
Sat, 7/28/2018	Coyote Hills / Dumbarton	3:25:39	41.66	1,463
Sun, 8/7/2016	Canada	2:42:58	41.19	1,526
Sat, 2/11/2017	Morning Ride	3:19:34	41.16	2,172
Sun, 12/3/2017	Bay Trail	2:53:58	40.86	568
Mon, 5/29/2017	Morning Ride	3:52:04	40.83	3,678
Sat, 2/18/2017	Lunch Ride	3:01:13	40.82	630
Wed, 11/9/2016	Lunch Ride	2:52:06	40.82	1,667
Sat, 5/20/2017	Lunch Ride	3:07:43	40.82	709
Sat, 3/24/2018	Morning Ride	2:56:29	40.69	561
Sun, 11/19/2017	Belmont / Bay Trail	2:53:36	40.60	453
Sun, 3/26/2017	Lunch Ride	2:54:38	40.57	518
Sat, 5/25/2019	Crestview	3:17:16	40.56	2,890
Sat, 9/16/2017	Tour de Coop	3:24:53	40.55	1,125
Thu, 9/3/2015	Morning Ride	3:02:58	40.40	1,181
Sun, 2/5/2017	Morning Ride	2:53:48	40.40	1,608
Sun, 10/23/2016	Lunch Ride	2:41:33	40.33	1,699
Sat, 12/8/2018	Morning Ride	3:27:10	40.33	2,300
Sun, 2/12/2017	Lunch Ride	3:39:38	40.27	2,717
Sat, 12/2/2017	Dumbarton / Niles	2:57:48	40.26	610
Sun, 11/12/2017	Morning Ride	2:54:57	40.24	656
Sat, 11/15/2014	Kings Mountain again	3:25:14	40.18	2,952
Sun, 10/9/2016	Lunch Ride	2:41:06	40.14	1,106
Mon, 11/6/2017	Morning Ride	2:48:12	40.13	509
Sat, 12/17/2016	Morning Ride	3:11:31	40.10	2,133
Fri, 1/12/2018	Morning Ride	2:58:30	40.09	427
Sun, 12/18/2016	Morning Ride	3:04:01	40.03	1,886
Sun, 1/25/2015	Canada Rd	2:45:51	39.99	1,772
Sat, 6/21/2014	Sierra to the Sea Day 7	3:36:53	39.77	3,325
Sat, 9/23/2017	Canada / Crestview	3:25:13	39.77	2,444
Fri, 12/27/2013	OLH to Page Mill	3:24:14	39.73	3,365
Fri, 10/30/2015	OLH / West Alpine	3:28:46	39.51	4,505
Sat, 9/5/2015	Ring of Fire	3:31:55	39.18	3,553
Wed, 8/28/2013	Train Track Crash	2:50:55	39.16	928
Sun, 2/22/2015	Canada Rd Plus	2:57:25	39.14	1,834
Sat, 4/8/2017	Lunch Ride	3:28:52	39.09	3,117
Sat, 11/14/2015	Morning Ride	3:09:31	39.00	2,254
Sun, 3/1/2015	Canada Rd	2:38:11	38.81	1,856
Wed, 11/22/2017	Morning Ride	2:55:22	38.77	892
Sat, 10/29/2016	Morning Ride	3:14:22	38.72	2,201
Sat, 4/6/2019	Coyote Hills / Dumbarton	2:50:52	38.71	650
Wed, 7/22/2015	Palo Alto, CA	2:55:45	38.68	627
Mon, 6/22/2015	Palo Alto, CA	2:51:10	38.55	725
Fri, 12/16/2016	Morning Ride	2:54:02	38.46	1,053
Sun, 10/7/2018	Westridge, Canada with Ted	3:09:25	38.29	1,667
Sat, 2/21/2015	Kings Mountain	3:13:05	38.21	3,015
Sat, 9/12/2015	Morning Ride	3:06:03	38.20	3,342
Sun, 2/15/2015	Canada Rd	2:35:29	38.06	1,470
Sun, 11/16/2014	Canada Rd	2:30:41	37.88	1,548
Sun, 10/5/2014	Canada Road Sunday	2:39:39	37.84	1,644
Mon, 11/23/2015	Home from Pigeon Point	3:29:29	37.70	3,133
Sat, 1/6/2018	Morning Ride	2:53:45	37.66	1,503
Sun, 1/7/2018	Dumbarton / Niles	2:39:17	37.64	472
Sun, 12/1/2013	Mt. Hamilton	3:47:01	37.56	4,921
Sun, 3/18/2018	Lunch Ride	2:47:48	37.52	827
Sat, 9/22/2018	Morning Ride	2:52:01	37.45	1,798
Sun, 10/22/2017	Afternoon Ride	2:33:27	37.41	1,024
Sun, 5/4/2014	MTV-Woodside	2:41:21	37.41	1,495
Sat, 1/23/2016	Morning Ride	3:39:10	37.35	2,949
Sun, 9/16/2018	Dumbarton / Niles	2:38:41	37.26	722
Sun, 6/10/2018	Canada / Emerald Hills	3:21:31	37.26	2,621
Mon, 5/4/2015	Commute	2:43:06	37.25	189
Sat, 7/7/2018	Runymede Trail	3:01:51	37.07	1,834
Sun, 12/11/2016	Afternoon Ride	2:34:13	37.05	1,463
Sun, 11/29/2015	Mt. Hamilton	3:40:48	37.00	4,902
Sat, 1/30/2016	Morning Ride	2:31:37	36.88	1,345
Mon, 2/18/2019	Niles	2:39:39	36.83	571
Sun, 1/21/2018	Alviso	2:35:58	36.82	404
Sat, 8/26/2017	Lunch Ride	2:41:49	36.71	1,115
Sat, 9/13/2014	Emerald Hills	2:55:30	36.71	2,143
Sun, 5/22/2016	Canada	2:11:12	36.68	1,332
Sat, 11/25/2017	Mt. Hamilton	3:41:22	36.65	4,806
Fri, 10/13/2017	Voyage	2:46:15	36.63	505
Tue, 5/12/2015	Palo Alto, CA	2:47:15	36.54	499
Mon, 4/20/2015	Commute	2:57:44	36.31	119
Fri, 5/13/2016	Morning Ride	2:41:03	36.21	456
Sat, 12/3/2016	Morning Ride	3:08:37	36.20	2,881
Sun, 12/7/2014	Palo Alto, CA	2:43:35	36.16	1,569
Sun, 9/30/2018	Canada	2:48:41	36.12	1,480
Fri, 3/30/2018	Morning Ride	2:38:07	36.11	285
Sun, 11/5/2017	Lunch Ride	3:24:01	35.91	2,231
Sun, 2/8/2015	Commute	2:28:46	35.85	1,142
Sat, 3/30/2019	Morning Ride	3:23:55	35.78	2,861
Sun, 11/22/2015	Pigeon Point	3:14:41	35.73	3,230
Mon, 9/19/2016	Sunnyvale	2:37:04	35.68	745
Thu, 4/9/2015	Palo Alto Cycling	2:35:47	35.51	117
Sun, 8/21/2016	Canada	2:20:21	35.42	1,348
Tue, 10/28/2014	Woodside	2:36:36	35.39	1,560
Sun, 1/27/2019	Crystal Springs Dam Bridge	2:28:21	35.38	1,480
Thu, 4/26/2018	San Mateo	2:38:26	35.31	666
Thu, 12/22/2016	Half Moon Bay	2:53:00	35.26	2,671
Tue, 6/7/2016	Los Altos	2:41:13	35.18	1,070
Sat, 3/15/2014	Canada - Steve	2:51:50	35.01	1,607
Sun, 12/6/2015	Canada Rd	2:15:05	34.67	1,237
Wed, 9/13/2017	Healdburg / Jimtown	2:08:03	34.45	912
Thu, 10/2/2014	Mountain View, California	3:08:06	34.28	2,864
Sat, 2/1/2014	OLH to Page Mill	3:07:43	34.26	3,099
Sat, 10/21/2017	Pescadero	5:20:08	67.05	4,938
Sat, 7/30/2016	Morning Ride	2:50:15	34.19	2,799
Mon, 7/10/2017	Morning Ride	2:38:59	34.18	984
Thu, 7/31/2014	Work commute	2:36:53	34.15	564
Sat, 12/15/2018	Lunch Ride	2:50:19	34.10	1,683
Sat, 1/20/2018	Afternoon Ride	2:28:18	34.02	525
Sun, 12/4/2016	Morning Ride	2:29:29	34.00	1,161
Sat, 10/8/2016	Lunch Ride	2:25:17	33.95	1,375
Thu, 10/16/2014	Commute	2:40:01	33.76	615
Fri, 11/11/2016	OLH	2:44:59	33.69	2,175
Sat, 9/3/2016	Morning Ride	3:07:28	33.65	2,792
Sun, 4/19/2015	Canada Rd	2:23:17	33.56	1,466
Sat, 8/12/2017	Afternoon Ride	2:41:24	33.54	633
Sat, 2/14/2015	Rancho San Antonio	2:45:23	33.53	2,075
Sat, 2/27/2016	Morning Ride	2:47:15	33.51	2,005
Sun, 9/17/2017	Canada and off road	2:36:04	33.50	1,772
Sat, 2/24/2018	Los Altos Hills on and off road	3:10:47	33.49	2,343
Sun, 1/26/2014	Canada Rd	2:05:59	33.12	1,446
Sat, 4/27/2019	Morning Ride	2:31:48	33.04	1,722
Sun, 5/12/2019	Peninsula Bike Trail to Bay Trail	2:29:05	33.00	846
Sun, 8/20/2017	Lunch Ride	2:23:02	32.96	1,407
Sun, 3/6/2016	Lunch Ride	2:57:54	32.86	2,566
Sun, 3/5/2017	Lunch Ride	2:57:09	32.82	1,713
Sat, 12/16/2017	Morning Ride	2:48:58	32.72	2,320
Tue, 8/23/2016	Morning Ride	2:32:15	32.61	354
Fri, 12/9/2016	Morning Ride	3:04:52	32.55	2,365
Sun, 11/1/2015	Lunch Ride	2:20:35	32.49	1,553
Sat, 4/14/2018	Lunch Ride	2:21:49	32.43	666
Fri, 1/26/2018	Morning Ride	2:23:38	32.41	295
Sun, 8/16/2015	Palo Alto, CA	2:29:53	32.40	1,650
Sat, 5/9/2015	OLH	2:30:17	32.33	2,788
Wed, 1/31/2018	Morning Ride	3:04:15	32.28	2,526
Sat, 4/4/2015	Rancho San Antonio	2:55:37	32.26	2,136
Sat, 3/16/2019	Morning Ride	2:58:43	32.26	2,316
Sun, 12/27/2015	Canada Rd with Juliet	2:24:56	32.22	1,491
Mon, 5/18/2015	Palo Alto, CA	2:24:45	32.22	807
Sun, 4/8/2018	Lunch Ride	2:21:54	32.18	1,296
Sun, 5/3/2015	Canada Rd	2:12:24	32.02	1,384
Wed, 6/17/2015	Mountain View, California	2:13:42	32.01	650
Sat, 11/7/2015	Crystal Springs Part 1	2:15:00	32.00	1000
Sun, 8/23/2015	Afternoon Ride	2:24:29	31.90	2,444
Sun, 4/12/2015	Palo Alto Cycling	2:01:49	31.76	1,210
Sun, 11/13/2016	Afternoon Ride	2:23:46	31.71	1,273
Fri, 10/7/2016	Morning Ride	2:26:46	31.65	2,382
Thu, 8/15/2013	Palo Alto, CA	2:19:27	31.64	555
Wed, 10/30/2013	work	2:22:00	31.55	995
Sun, 9/18/2016	Morning Ride	2:20:46	31.48	1,506
Tue, 6/18/2013	work etc (headwinds)	2:03:34	31.48	809
Sun, 3/11/2018	Lunch Ride	2:23:14	31.42	686
Sat, 3/12/2016	Lunch Ride	2:10:01	31.39	1,198
Sun, 1/22/2017	Dumbarton	2:23:36	31.27	591
Sat, 9/29/2018	Kings	2:36:47	31.23	1,949
Sat, 3/23/2019	Morning Ride	2:33:27	31.19	1,529
Sat, 4/13/2019	Alviso	2:10:04	31.18	397
Mon, 11/10/2014	Commute	2:22:39	31.18	800
Mon, 5/25/2015	Palo Alto, CA	2:19:26	31.14	1,591
Mon, 2/16/2015	Portola Valley Loop	2:09:15	31.11	1,283
Wed, 9/21/2016	Morning Ride	2:16:04	31.09	551
Sat, 3/11/2017	Afternoon Ride	2:19:05	31.04	1,368
Sun, 7/29/2018	Lunch Ride	2:26:56	30.92	1,578
Fri, 11/10/2017	Lunch Ride	2:20:46	30.92	312
Mon, 6/12/2017	Morning Ride	2:20:16	30.90	554
Thu, 12/29/2016	Morning Ride	2:13:46	30.86	1,083
Sat, 4/22/2017	Lunch Ride	2:21:31	30.80	1,237
Mon, 9/7/2015	Healdsburg	2:09:43	30.76	1,037
Sat, 1/14/2017	Afternoon Ride	2:12:37	30.71	466
Mon, 9/4/2017	Kings Mountain	2:40:57	30.69	2,431
Sun, 8/9/2015	Palo Alto, CA	2:15:39	30.66	1,348
Sat, 12/12/2015	Lunch Ride	2:16:20	30.56	1,434
Thu, 12/28/2017	Morning Ride	2:17:38	30.54	430
Mon, 1/30/2017	Morning Ride	2:19:47	30.49	696
Sun, 8/27/2017	Lunch Ride	2:16:36	30.47	774
Fri, 10/12/2018	Lunch Ride	2:16:25	30.44	348
Sat, 2/28/2015	Palo Alto Cycling	2:40:24	30.37	2,535
Sat, 6/24/2017	Afternoon Ride	2:06:05	30.31	338
Tue, 6/2/2015	Mountain View, California	2:09:58	30.30	784
Mon, 5/27/2019	Canada / Sheep camp / Water dog lake	2:37:11	30.27	1,444
Sat, 1/2/2016	Los Altos Hills	2:29:48	30.27	1,952
Fri, 6/23/2017	Morning Ride	2:17:16	30.27	515
Sun, 4/2/2017	Morning Ride	2:20:47	30.23	407
Sat, 8/25/2018	Morning Ride	2:22:42	30.22	2,257
Sun, 9/14/2014	Palo Alto, CA	2:06:48	30.18	1,204
Sat, 8/19/2017	Lunch Ride	2:06:39	30.17	627
Sun, 3/12/2017	Morning Ride	2:18:13	30.16	600
Sat, 11/21/2015	Morning Ride	2:20:54	30.16	1,499
Wed, 10/12/2016	Morning Ride	2:19:51	30.11	328
Sun, 7/8/2018	Lunch Ride	2:12:19	30.04	768
Tue, 11/22/2016	Morning Ride	2:18:57	30.04	518
Wed, 3/4/2015	Commute	2:15:56	30.02	1,125
